"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"208","Ukraine","Europe","Eastern Europe",4029.69995117188,0.734000027179718,21,30,12,23,29,37,6,"Non-Democratic",5.84000015258789,NA,-0.200000002980232,NA,6
"209","United Arab Emirates","Asia","Western Asia",43048.8984375,0.827000021934509,76,83,88,71,75,18,-8,"Non-Democratic",2.51999998092651,NA,1.5,3,0
"210","United Kingdom of Great Britain","Europe","Northern Europe",41776.80078125,0.892000019550323,63,90,93,93,96,92,10,"Democratic",8.3100004196167,NA,0.600000023841858,NA,10
"211","United States Virgin Islands","Americas","Caribbean",NA,NA,79,87,78,77,71,73,NA,NA,NA,NA,-0.5,NA,NA
"212","United States of America","Americas","Northern America",52980,0.913999974727631,66,91,85,91,87,84,10,"Democratic",8.10999965667725,NA,0.800000011920929,5,10
"213","Uruguay","Americas","South America",16883.900390625,0.790000021457672,71,66,89,66,68,83,10,"Democratic",8.17000007629395,1.89999997615814,0.300000011920929,8,10
"214","Uzbekistan","Asia","Central Asia",1878,0.66100001335144,27,18,8,11,3,2,-9,"Non-Democratic",1.72000002861023,NA,1.60000002384186,4,0
"215","Vanuatu","Oceania","Melanasia",3172.10009765625,0.61599999666214,91,46,67,61,32,65,NA,NA,NA,NA,2.20000004768372,3,NA
"216","Venezuela","Americas","South America",12212.900390625,0.763999998569489,16,13,7,1,3,22,-3,"Non-Democratic",5.07000017166138,NA,1.5,54,4
"217","Vietnam","Asia","South-Eastern Asia",1908.59997558594,0.638000011444092,56,44,37,39,28,12,-7,"Non-Democratic",3.28999996185303,2.90000009536743,1,3,0
"218","Yemen","Asia","Western Asia",1473.09997558594,0.5,2,11,9,12,24,11,-2,"Non-Democratic",2.78999996185303,NA,2.29999995231628,NA,3
"219","Zambia","Africa","Eastern Africa",1844.80004882812,0.560999989509583,61,38,44,45,34,45,7,"Non-Democratic",6.26000022888184,NA,3.20000004768372,11,7
"220","Zimbabwe","Africa","Eastern Africa",953.400024414062,0.492000013589859,24,13,3,2,2,10,1,"Non-Democratic",2.67000007629395,NA,3.09999990463257,11,5
