"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"119","Malawi","Africa","Eastern Africa",237.300003051758,0.414000004529953,39,33,31,50,27,42,6,"Non-Democratic",6,NA,2.79999995231628,2,6
"120","Malaysia","Asia","South-Eastern Asia",10538,0.773000001907349,48,82,68,64,72,37,6,"Non-Democratic",6.48999977111816,NA,1.60000002384186,2,6
"121","Maldives","Asia","Southern Asia",7840.5,0.698000013828278,52,45,38,29,36,35,NA,NA,NA,NA,1.89999997615814,4,NA
"122","Mali","Africa","Western Africa",726.200012207031,0.407000005245209,7,22,25,27,33,38,7,"Non-Democratic",5.90000009536743,NA,3,8,6
"123","Malta","Europe","Southern Europe",22776.19921875,0.828999996185303,82,87,81,87,87,86,NA,NA,8.27999973297119,NA,0.899999976158142,3,NA
"124","Marshall Islands","Oceania","Micronesia",3627.19995117188,NA,88,2,58,57,13,88,NA,NA,NA,NA,0.200000002980232,5,NA
"125","Martinique","Americas","Caribbean",NA,NA,67,73,78,77,77,66,NA,NA,NA,NA,NA,NA,NA
"126","Mauritania","Africa","Western Africa",1300.19995117188,0.486999988555908,18,19,28,18,26,22,-2,"Non-Democratic",4.17000007629395,NA,2.40000009536743,5,0
"127","Mauritius","Africa","Eastern Africa",9476.7998046875,0.771000027656555,78,76,66,78,79,74,10,"Democratic",8.17000007629395,3,0.200000002980232,NA,10
"128","Mexico","Americas","Central America",10318.2001953125,0.755999982357025,23,63,39,35,67,54,8,"Democratic",6.90999984741211,1.89999997615814,1.20000004768372,22,8
"129","Moldova","Europe","Eastern Europe",2244,0.662999987602234,45,41,24,43,49,45,8,"Democratic",6.32000017166138,NA,0,7,9
"130","Monaco","Europe","Western Europe",NA,NA,86,NA,NA,80,NA,73,NA,NA,NA,NA,0.699999988079071,NA,NA
"131","Mongolia","Asia","Eastern Asia",4418.7998046875,0.698000013828278,64,35,40,44,44,53,10,"Democratic",6.51000022888184,NA,1.5,NA,10
"132","Montenegro","Europe","Southern Europe",7110.7998046875,0.788999974727631,64,60,51,54,54,56,9,"Democratic",5.94000005722046,NA,0.100000001490116,3,9
"133","Morocco","Africa","Northern Africa",3095,0.616999983787537,29,52,46,47,47,28,-6,"Non-Democratic",4.07000017166138,NA,1.5,2,1
"134","Mozambique","Africa","Eastern Africa",598.299987792969,0.39300000667572,37,31,30,22,36,39,5,"Non-Democratic",4.76999998092651,NA,2.5,12,5
"135","Myanmar","Asia","South-Eastern Asia",1101.30004882812,0.523999989032745,13,4,12,11,5,7,-6,"Non-Democratic",2.75999999046326,NA,0.899999976158142,15,0
"136","Namibia","Africa","Southern Africa",5614.60009765625,0.624000012874603,77,60,65,60,54,59,6,"Non-Democratic",6.23999977111816,NA,1.89999997615814,17,6
"137","Nauru","Oceania","Micronesia",NA,NA,88,33,35,68,7,83,NA,NA,NA,NA,NA,NA,NA
"138","Nepal","Asia","Southern Asia",692.299987792969,0.540000021457672,14,18,29,26,22,30,6,"Non-Democratic",4.76999998092651,NA,1.20000004768372,NA,6
"139","Netherlands","Europe","Western Europe",50792.5,0.915000021457672,90,97,96,97,97,97,10,"Democratic",8.84000015258789,NA,0.300000011920929,1,10
"140","New Caledonia","Oceania","Melanasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"141","New Zealand","Oceania","Australia and New Zealand",42409,0.910000026226044,99,96,100,98,98,98,10,"Democratic",9.26000022888184,NA,0.800000011920929,1,10
"142","Nicaragua","Americas","Central America",1784.5,0.614000022411346,38,23,24,31,43,33,9,"Democratic",5.46000003814697,NA,1.5,11,9
"143","Niger","Africa","Western Africa",430.899993896484,0.337000012397766,10,28,35,27,30,36,3,"Non-Democratic",4.07999992370605,NA,3.90000009536743,5,7
"144","Nigeria","Africa","Western Africa",2966.10009765625,0.504000008106232,4,16,9,12,25,27,4,"Non-Democratic",3.76999998092651,NA,2.79999995231628,20,4
"145","North Korea","Asia","Eastern Asia",NA,NA,27,0,3,8,0,0,-9,"Non-Democratic",1.08000004291534,NA,0.5,NA,0
"146","Northern Mariana Islands","Oceania","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"147","Norway","Europe","Northern Europe",102832.296875,0.944000005722046,95,98,99,100,95,100,10,"Democratic",9.93000030517578,NA,1.20000004768372,NA,10
"148","Oman","Asia","Western Asia",21523.400390625,0.782999992370605,63,61,60,67,67,19,-8,"Non-Democratic",3.25999999046326,NA,9.19999980926514,NA,0
"149","Pakistan","Asia","Southern Asia",1275.30004882812,0.537000000476837,1,23,18,21,25,25,6,"Non-Democratic",4.6399998664856,NA,1.70000004768372,8,7
"150","Palau","Oceania","Micronesia",10926.7998046875,0.774999976158142,88,33,35,78,17,90,NA,NA,NA,NA,0.800000011920929,3,NA
"151","Panama","Americas","Central America",11036.7998046875,0.764999985694885,42,64,46,48,63,60,9,"Democratic",7.07999992370605,1,1.60000002384186,17,9
"152","Papua New Guinea","Oceania","Melanasia",2105.30004882812,0.49099999666214,28,27,15,18,33,50,4,"Non-Democratic",6.3600001335144,NA,2.09999990463257,NA,5
"153","Paraguay","Americas","South America",4248.10009765625,0.675999999046326,25,20,16,24,42,44,8,"Democratic",6.26000022888184,1.39999997615814,1.70000004768372,10,9
"154","Peru","Americas","South America",6662,0.736999988555908,21,49,42,33,67,51,9,"Democratic",6.53999996185303,1.39999997615814,1.29999995231628,10,9
"155","Philippines","Asia","South-Eastern Asia",2765.10009765625,0.660000026226044,17,57,44,42,52,48,8,"Democratic",6.40999984741211,2.5,1.70000004768372,9,8
"156","Poland","Europe","Eastern Europe",13829.2001953125,0.833999991416931,79,71,71,73,81,78,10,"Democratic",7.11999988555908,NA,-0.100000001490116,NA,10
"157","Portugal","Europe","Southern Europe",21507.69921875,0.822000026702881,69,86,79,83,76,80,10,"Democratic",7.65000009536743,NA,-0.5,1,10
"158","Puerto Rico","Americas","Caribbean",28681.69921875,NA,57,65,70,71,77,68,NA,NA,NA,NA,-1.29999995231628,27,NA
"159","Qatar","Asia","Western Asia",93714.1015625,0.851000010967255,92,81,85,83,74,24,-10,"Non-Democratic",3.1800000667572,NA,5.59999990463257,1,0
"160","Reunion","Africa","Eastern Africa",NA,NA,62,80,78,77,81,91,NA,NA,NA,NA,NA,NA,NA
"161","Romania","Europe","Eastern Europe",9489.7001953125,0.785000026226044,53,53,53,56,69,57,9,"Democratic",6.53999996185303,3.70000004768372,-0.400000005960464,2,9
"162","Russian Federation","Europe","Eastern Europe",14487.2998046875,0.777999997138977,22,43,17,25,37,19,4,"Non-Democratic",3.58999991416931,NA,0.200000002980232,9,5
"163","Rwanda","Africa","Eastern Africa",638.700012207031,0.505999982357025,44,56,72,51,53,15,-4,"Non-Democratic",3.38000011444092,NA,2.70000004768372,23,0
"164","Saint Kitts and Nevis","Americas","Caribbean",14284.2001953125,0.75,81,77,80,72,64,87,NA,NA,NA,NA,1.10000002384186,34,NA
"165","Saint Lucia","Americas","Caribbean",7328.39990234375,0.71399998664856,73,78,83,73,65,87,NA,NA,NA,NA,0.800000011920929,22,NA
"166","Saint Martin","Americas","Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
